llm,dataset,relation,True,Accuracy,Size,Equivalence,Contains,ContainedBy,Overlap,Disjoint,Unknown,Else
deepseek-chat,qawiki,R(1-2),Equivalence,0.9800(147),150,0.9800(147),0.0000(0),0.0000(0),0.0200(3),0.0000(0),0.0000(0),0.0000(0)
deepseek-chat,qawiki,R(1-3),Contains,0.2333(35),150,0.0067(1),0.2333(35),0.7400(111),0.0200(3),0.0000(0),0.0000(0),0.0000(0)
deepseek-chat,qawiki,R(1-4),Contains,0.2000(30),150,0.0000(0),0.2000(30),0.0333(5),0.5933(89),0.1733(26),0.0000(0),0.0000(0)
deepseek-chat,qawiki,R(3-4),Disjoint,1.0000(150),150,0.0000(0),0.0000(0),0.0000(0),0.0000(0),1.0000(150),0.0000(0),0.0000(0)
deepseek-chat,qawiki,R(1-34),Equivalence,0.9267(139),150,0.9267(139),0.0133(2),0.0000(0),0.0133(2),0.0467(7),0.0000(0),0.0000(0)
deepseek-chat,spinach,R(1-2),Equivalence,0.9800(147),150,0.9800(147),0.0000(0),0.0000(0),0.0133(2),0.0000(0),0.0067(1),0.0000(0)
deepseek-chat,spinach,R(1-3),Contains,0.4267(64),150,0.0067(1),0.4267(64),0.5067(76),0.0600(9),0.0000(0),0.0000(0),0.0000(0)
deepseek-chat,spinach,R(1-4),Contains,0.1933(29),150,0.0000(0),0.1933(29),0.0467(7),0.5333(80),0.2267(34),0.0000(0),0.0000(0)
deepseek-chat,spinach,R(3-4),Disjoint,0.9933(149),150,0.0000(0),0.0000(0),0.0000(0),0.0067(1),0.9933(149),0.0000(0),0.0000(0)
deepseek-chat,spinach,R(1-34),Equivalence,0.9000(135),150,0.9000(135),0.0000(0),0.0067(1),0.0200(3),0.0733(11),0.0000(0),0.0000(0)
deepseek-chat,synthetic,R(1-2),Equivalence,0.9600(144),150,0.9600(144),0.0000(0),0.0000(0),0.0267(4),0.0133(2),0.0000(0),0.0000(0)
deepseek-chat,synthetic,R(1-3),Contains,0.4333(65),150,0.0133(2),0.4333(65),0.5067(76),0.0333(5),0.0133(2),0.0000(0),0.0000(0)
deepseek-chat,synthetic,R(1-4),Contains,0.2267(34),150,0.0000(0),0.2267(34),0.0400(6),0.4933(74),0.2400(36),0.0000(0),0.0000(0)
deepseek-chat,synthetic,R(3-4),Disjoint,0.9933(149),150,0.0067(1),0.0000(0),0.0000(0),0.0000(0),0.9933(149),0.0000(0),0.0000(0)
deepseek-chat,synthetic,R(1-34),Equivalence,0.9133(137),150,0.9133(137),0.0000(0),0.0000(0),0.0133(2),0.0733(11),0.0000(0),0.0000(0)
deepseek-reasoner,qawiki,R(1-2),Equivalence,0.8440(92),109,0.8440(92),0.0367(4),0.1193(13),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
deepseek-reasoner,qawiki,R(1-3),Contains,0.9817(107),109,0.0183(2),0.9817(107),0.0000(0),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
deepseek-reasoner,qawiki,R(1-4),Contains,0.9817(107),109,0.0092(1),0.9817(107),0.0000(0),0.0000(0),0.0092(1),0.0000(0),0.0000(0)
deepseek-reasoner,qawiki,R(3-4),Disjoint,0.9633(105),109,0.0000(0),0.0092(1),0.0000(0),0.0183(2),0.9633(105),0.0092(1),0.0000(0)
deepseek-reasoner,qawiki,R(1-34),Equivalence,0.9633(105),109,0.9633(105),0.0183(2),0.0092(1),0.0000(0),0.0092(1),0.0000(0),0.0000(0)
deepseek-reasoner,spinach,R(1-2),Equivalence,0.9007(127),141,0.9007(127),0.0355(5),0.0567(8),0.0000(0),0.0000(0),0.0071(1),0.0000(0)
deepseek-reasoner,spinach,R(1-3),Contains,0.9716(137),141,0.0000(0),0.9716(137),0.0142(2),0.0142(2),0.0000(0),0.0000(0),0.0000(0)
deepseek-reasoner,spinach,R(1-4),Contains,0.9716(137),141,0.0213(3),0.9716(137),0.0000(0),0.0071(1),0.0000(0),0.0000(0),0.0000(0)
deepseek-reasoner,spinach,R(3-4),Disjoint,0.9574(135),141,0.0071(1),0.0000(0),0.0000(0),0.0284(4),0.9574(135),0.0071(1),0.0000(0)
deepseek-reasoner,spinach,R(1-34),Equivalence,0.9504(134),141,0.9504(134),0.0284(4),0.0142(2),0.0071(1),0.0000(0),0.0000(0),0.0000(0)
deepseek-reasoner,synthetic,R(1-2),Equivalence,0.8800(132),150,0.8800(132),0.0600(9),0.0400(6),0.0000(0),0.0200(3),0.0000(0),0.0000(0)
deepseek-reasoner,synthetic,R(1-3),Contains,0.9667(145),150,0.0200(3),0.9667(145),0.0067(1),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
deepseek-reasoner,synthetic,R(1-4),Contains,0.9600(144),150,0.0000(0),0.9600(144),0.0000(0),0.0133(2),0.0133(2),0.0133(2),0.0000(0)
deepseek-reasoner,synthetic,R(3-4),Disjoint,0.9733(146),150,0.0067(1),0.0000(0),0.0000(0),0.0200(3),0.9733(146),0.0000(0),0.0000(0)
deepseek-reasoner,synthetic,R(1-34),Equivalence,0.9733(146),150,0.9733(146),0.0000(0),0.0133(2),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
gemini-2.0-flash,qawiki,R(1-2),Equivalence,0.9667(145),150,0.9667(145),0.0133(2),0.0000(0),0.0200(3),0.0000(0),0.0000(0),0.0000(0)
gemini-2.0-flash,qawiki,R(1-3),Contains,0.8667(130),150,0.0067(1),0.8667(130),0.1067(16),0.0200(3),0.0000(0),0.0000(0),0.0000(0)
gemini-2.0-flash,qawiki,R(1-4),Contains,0.1600(24),150,0.0000(0),0.1600(24),0.0267(4),0.7267(109),0.0867(13),0.0000(0),0.0000(0)
gemini-2.0-flash,qawiki,R(3-4),Disjoint,0.9400(141),150,0.0000(0),0.0067(1),0.0000(0),0.0533(8),0.9400(141),0.0000(0),0.0000(0)
gemini-2.0-flash,qawiki,R(1-34),Equivalence,0.8400(126),150,0.8400(126),0.0000(0),0.0000(0),0.0933(14),0.0667(10),0.0000(0),0.0000(0)
gemini-2.0-flash,spinach,R(1-2),Equivalence,0.9733(146),150,0.9733(146),0.0000(0),0.0133(2),0.0133(2),0.0000(0),0.0000(0),0.0000(0)
gemini-2.0-flash,spinach,R(1-3),Contains,0.9000(135),150,0.0000(0),0.9000(135),0.0733(11),0.0133(2),0.0133(2),0.0000(0),0.0000(0)
gemini-2.0-flash,spinach,R(1-4),Contains,0.2600(39),150,0.0000(0),0.2600(39),0.0400(6),0.6200(93),0.0800(12),0.0000(0),0.0000(0)
gemini-2.0-flash,spinach,R(3-4),Disjoint,0.9733(146),150,0.0000(0),0.0000(0),0.0000(0),0.0267(4),0.9733(146),0.0000(0),0.0000(0)
gemini-2.0-flash,spinach,R(1-34),Equivalence,0.8600(129),150,0.8600(129),0.0000(0),0.0000(0),0.0800(12),0.0600(9),0.0000(0),0.0000(0)
gemini-2.0-flash,synthetic,R(1-2),Equivalence,0.7467(112),150,0.7467(112),0.0133(2),0.0067(1),0.0133(2),0.2200(33),0.0000(0),0.0000(0)
gemini-2.0-flash,synthetic,R(1-3),Contains,0.7000(105),150,0.0267(4),0.7000(105),0.0667(10),0.0133(2),0.1933(29),0.0000(0),0.0000(0)
gemini-2.0-flash,synthetic,R(1-4),Contains,0.1933(29),150,0.0200(3),0.1933(29),0.0267(4),0.5133(77),0.2467(37),0.0000(0),0.0000(0)
gemini-2.0-flash,synthetic,R(3-4),Disjoint,0.9467(142),150,0.0133(2),0.0000(0),0.0000(0),0.0400(6),0.9467(142),0.0000(0),0.0000(0)
gemini-2.0-flash,synthetic,R(1-34),Equivalence,0.7067(106),150,0.7067(106),0.0000(0),0.0000(0),0.0533(8),0.1000(15),0.1400(21),0.0000(0)
gemini-2.5-flash,qawiki,R(1-2),Equivalence,0.7933(119),150,0.7933(119),0.0667(10),0.1400(21),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gemini-2.5-flash,qawiki,R(1-3),Contains,0.9533(143),150,0.0267(4),0.9533(143),0.0067(1),0.0000(0),0.0000(0),0.0133(2),0.0000(0)
gemini-2.5-flash,qawiki,R(1-4),Contains,0.9667(145),150,0.0067(1),0.9667(145),0.0000(0),0.0000(0),0.0200(3),0.0067(1),0.0000(0)
gemini-2.5-flash,qawiki,R(3-4),Disjoint,0.9800(147),150,0.0000(0),0.0067(1),0.0000(0),0.0133(2),0.9800(147),0.0000(0),0.0000(0)
gemini-2.5-flash,qawiki,R(1-34),Equivalence,0.9667(145),150,0.9667(145),0.0133(2),0.0067(1),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
gemini-2.5-flash,spinach,R(1-2),Equivalence,0.8800(132),150,0.8800(132),0.0467(7),0.0600(9),0.0133(2),0.0000(0),0.0000(0),0.0000(0)
gemini-2.5-flash,spinach,R(1-3),Contains,0.9667(145),150,0.0067(1),0.9667(145),0.0000(0),0.0067(1),0.0000(0),0.0133(2),0.0067(1)
gemini-2.5-flash,spinach,R(1-4),Contains,0.9600(144),150,0.0200(3),0.9600(144),0.0000(0),0.0067(1),0.0000(0),0.0133(2),0.0000(0)
gemini-2.5-flash,spinach,R(3-4),Disjoint,0.9733(146),150,0.0067(1),0.0000(0),0.0067(1),0.0133(2),0.9733(146),0.0000(0),0.0000(0)
gemini-2.5-flash,spinach,R(1-34),Equivalence,0.9467(142),150,0.9467(142),0.0333(5),0.0133(2),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
gemini-2.5-flash,synthetic,R(1-2),Equivalence,0.8933(134),150,0.8933(134),0.0467(7),0.0333(5),0.0133(2),0.0067(1),0.0067(1),0.0000(0)
gemini-2.5-flash,synthetic,R(1-3),Contains,0.9600(144),150,0.0200(3),0.9600(144),0.0067(1),0.0067(1),0.0000(0),0.0067(1),0.0000(0)
gemini-2.5-flash,synthetic,R(1-4),Contains,0.9667(145),150,0.0067(1),0.9667(145),0.0000(0),0.0067(1),0.0067(1),0.0067(1),0.0067(1)
gemini-2.5-flash,synthetic,R(3-4),Disjoint,0.9733(146),150,0.0067(1),0.0067(1),0.0000(0),0.0133(2),0.9733(146),0.0000(0),0.0000(0)
gemini-2.5-flash,synthetic,R(1-34),Equivalence,0.9533(143),150,0.9533(143),0.0133(2),0.0133(2),0.0000(0),0.0133(2),0.0000(0),0.0067(1)
gemini-2.5-pro,qawiki,R(1-2),Equivalence,0.8733(131),150,0.8733(131),0.0333(5),0.0867(13),0.0067(1),0.0000(0),0.0000(0),0.0000(0)
gemini-2.5-pro,qawiki,R(1-3),Contains,0.9667(145),150,0.0267(4),0.9667(145),0.0067(1),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gemini-2.5-pro,qawiki,R(1-4),Contains,0.9333(140),150,0.0067(1),0.9333(140),0.0000(0),0.0267(4),0.0333(5),0.0000(0),0.0000(0)
gemini-2.5-pro,qawiki,R(3-4),Disjoint,0.9867(148),150,0.0000(0),0.0000(0),0.0000(0),0.0133(2),0.9867(148),0.0000(0),0.0000(0)
gemini-2.5-pro,qawiki,R(1-34),Equivalence,0.9733(146),150,0.9733(146),0.0000(0),0.0133(2),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
gemini-2.5-pro,spinach,R(1-2),Equivalence,0.9200(138),150,0.9200(138),0.0200(3),0.0600(9),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gemini-2.5-pro,spinach,R(1-3),Contains,0.9733(146),150,0.0133(2),0.9733(146),0.0000(0),0.0067(1),0.0067(1),0.0000(0),0.0000(0)
gemini-2.5-pro,spinach,R(1-4),Contains,0.9200(138),150,0.0333(5),0.9200(138),0.0000(0),0.0133(2),0.0200(3),0.0000(0),0.0133(2)
gemini-2.5-pro,spinach,R(3-4),Disjoint,0.9800(147),150,0.0067(1),0.0000(0),0.0000(0),0.0067(1),0.9800(147),0.0000(0),0.0067(1)
gemini-2.5-pro,spinach,R(1-34),Equivalence,0.9667(145),150,0.9667(145),0.0200(3),0.0133(2),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gemini-2.5-pro,synthetic,R(1-2),Equivalence,0.9133(137),150,0.9133(137),0.0400(6),0.0267(4),0.0000(0),0.0133(2),0.0000(0),0.0067(1)
gemini-2.5-pro,synthetic,R(1-3),Contains,0.9733(146),150,0.0067(1),0.9733(146),0.0067(1),0.0067(1),0.0067(1),0.0000(0),0.0000(0)
gemini-2.5-pro,synthetic,R(1-4),Contains,0.9600(144),150,0.0000(0),0.9600(144),0.0000(0),0.0267(4),0.0133(2),0.0000(0),0.0000(0)
gemini-2.5-pro,synthetic,R(3-4),Disjoint,0.9800(147),150,0.0067(1),0.0000(0),0.0000(0),0.0133(2),0.9800(147),0.0000(0),0.0000(0)
gemini-2.5-pro,synthetic,R(1-34),Equivalence,0.9600(144),150,0.9600(144),0.0067(1),0.0200(3),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,qawiki,R(1-2),Equivalence,0.9580(137),143,0.9580(137),0.0420(6),0.0000(0),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,qawiki,R(1-3),Contains,0.9860(141),143,0.0070(1),0.9860(141),0.0000(0),0.0070(1),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,qawiki,R(1-4),Contains,0.6434(92),143,0.0000(0),0.6434(92),0.0000(0),0.2937(42),0.0629(9),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,qawiki,R(3-4),Disjoint,1.0000(143),143,0.0000(0),0.0000(0),0.0000(0),0.0000(0),1.0000(143),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,qawiki,R(1-34),Equivalence,1.0000(143),143,1.0000(143),0.0000(0),0.0000(0),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,spinach,R(1-2),Equivalence,0.9437(134),142,0.9437(134),0.0282(4),0.0211(3),0.0000(0),0.0000(0),0.0070(1),0.0000(0)
gpt-4.1-2025-04-14,spinach,R(1-3),Contains,0.9930(141),142,0.0000(0),0.9930(141),0.0000(0),0.0070(1),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,spinach,R(1-4),Contains,0.6690(95),142,0.0000(0),0.6690(95),0.0070(1),0.2817(40),0.0423(6),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,spinach,R(3-4),Disjoint,0.9930(141),142,0.0000(0),0.0000(0),0.0000(0),0.0070(1),0.9930(141),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,spinach,R(1-34),Equivalence,0.9859(140),142,0.9859(140),0.0000(0),0.0070(1),0.0000(0),0.0070(1),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,synthetic,R(1-2),Equivalence,0.9161(131),143,0.9161(131),0.0629(9),0.0070(1),0.0000(0),0.0140(2),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,synthetic,R(1-3),Contains,0.9860(141),143,0.0000(0),0.9860(141),0.0140(2),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,synthetic,R(1-4),Contains,0.7203(103),143,0.0000(0),0.7203(103),0.0000(0),0.2238(32),0.0559(8),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,synthetic,R(3-4),Disjoint,0.9930(142),143,0.0070(1),0.0000(0),0.0000(0),0.0000(0),0.9930(142),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,synthetic,R(1-34),Equivalence,0.9930(142),143,0.9930(142),0.0000(0),0.0000(0),0.0000(0),0.0070(1),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,qawiki,R(1-2),Equivalence,0.9133(137),150,0.9133(137),0.0133(2),0.0667(10),0.0067(1),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,qawiki,R(1-3),Contains,0.3533(53),150,0.0067(1),0.3533(53),0.6333(95),0.0067(1),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,qawiki,R(1-4),Contains,0.2200(33),150,0.0000(0),0.2200(33),0.0600(9),0.6267(94),0.0933(14),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,qawiki,R(3-4),Disjoint,1.0000(150),150,0.0000(0),0.0000(0),0.0000(0),0.0000(0),1.0000(150),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,qawiki,R(1-34),Equivalence,0.9733(146),150,0.9733(146),0.0000(0),0.0000(0),0.0133(2),0.0133(2),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,spinach,R(1-2),Equivalence,0.9467(142),150,0.9467(142),0.0067(1),0.0400(6),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
gpt-4.1-mini-2025-04-14,spinach,R(1-3),Contains,0.3667(55),150,0.0000(0),0.3667(55),0.6067(91),0.0133(2),0.0067(1),0.0067(1),0.0000(0)
gpt-4.1-mini-2025-04-14,spinach,R(1-4),Contains,0.1533(23),150,0.0000(0),0.1533(23),0.1533(23),0.6200(93),0.0600(9),0.0133(2),0.0000(0)
gpt-4.1-mini-2025-04-14,spinach,R(3-4),Disjoint,0.9933(149),150,0.0000(0),0.0000(0),0.0000(0),0.0067(1),0.9933(149),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,spinach,R(1-34),Equivalence,0.9467(142),150,0.9467(142),0.0067(1),0.0000(0),0.0133(2),0.0333(5),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,synthetic,R(1-2),Equivalence,0.8800(132),150,0.8800(132),0.0333(5),0.0667(10),0.0067(1),0.0133(2),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,synthetic,R(1-3),Contains,0.3267(49),150,0.0000(0),0.3267(49),0.6400(96),0.0333(5),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,synthetic,R(1-4),Contains,0.2133(32),150,0.0133(2),0.2133(32),0.0733(11),0.5200(78),0.1800(27),0.0000(0),0.0000(0)
